,Name,Brand,Colour,url,clean_text,tokenized,stopwords_removed,combined_postag_wnet,lemmatize_word_w_pos,lemmatize_text
907,Nike Club woven bomber jacket in stone,Nike,Stone,images.asos-media.com/products/nike-club-woven-bomber-jacket-in-stone/203622166-1-stone,nike club woven bomber jacket in stone,"['nike', 'club', 'woven', 'bomber', 'jacket', 'in', 'stone']","['nike', 'club', 'woven', 'bomber', 'jacket', 'stone']","[('nike', 'n'), ('club', 'n'), ('woven', 'n'), ('bomber', 'n'), ('jacket', 'n'), ('stone', 'n')]","['nike', 'club', 'woven', 'bomber', 'jacket', 'stone']",nike club woven bomber jacket stone
908,Reebok shorts in semi orange flare,Reebok,ORANGE FLARE,images.asos-media.com/products/reebok-shorts-in-semi-orange-flare/202124481-1-orangeflare,reebok shorts in semi orange flare,"['reebok', 'shorts', 'in', 'semi', 'orange', 'flare']","['reebok', 'shorts', 'semi', 'orange', 'flare']","[('reebok', 'n'), ('shorts', 'n'), ('semi', 'n'), ('orange', 'a'), ('flare', 'n')]","['reebok', 'short', 'semi', 'orange', 'flare']",reebok short semi orange flare
909,Vans MN printed t-shirt in yellow,Vans,YELLOW,images.asos-media.com/products/vans-mn-printed-t-shirt-in-yellow/203239217-1-yellow,vans mn printed tshirt in yellow,"['vans', 'mn', 'printed', 'tshirt', 'in', 'yellow']","['vans', 'mn', 'printed', 'tshirt', 'yellow']","[('vans', 'n'), ('mn', 'n'), ('printed', 'v'), ('tshirt', 'n'), ('yellow', 'a')]","['van', 'mn', 'print', 'tshirt', 'yellow']",van mn print tshirt yellow
910,Nike Sports Utility zip thru 'pac-a-mac' jacket in cargo khaki,Nike,KHAKI,images.asos-media.com/products/nike-sports-utility-zip-thru-pac-a-mac-jacket-in-cargo-khaki/202985955-1-khaki,nike sports utility zip thru pacamac jacket in cargo khaki,"['nike', 'sports', 'utility', 'zip', 'thru', 'pacamac', 'jacket', 'in', 'cargo', 'khaki']","['nike', 'sports', 'utility', 'zip', 'thru', 'pacamac', 'jacket', 'cargo', 'khaki']","[('nike', 'n'), ('sports', 'n'), ('utility', 'n'), ('zip', 'n'), ('thru', 'n'), ('pacamac', 'n'), ('jacket', 'n'), ('cargo', 'n'), ('khaki', 'n')]","['nike', 'sport', 'utility', 'zip', 'thru', 'pacamac', 'jacket', 'cargo', 'khaki']",nike sport utility zip thru pacamac jacket cargo khaki
911,ASOS DESIGN regular jean in light wash  - LBLUE,ASOS DESIGN,BLUE,images.asos-media.com/products/asos-design-regular-jean-in-light-wash-lblue/202394836-1-blue,asos design regular jean in light wash   lblue,"['asos', 'design', 'regular', 'jean', 'in', 'light', 'wash', 'lblue']","['asos', 'design', 'regular', 'jean', 'light', 'wash', 'lblue']","[('asos', 'n'), ('design', 'n'), ('regular', 'a'), ('jean', 'n'), ('light', 'a'), ('wash', 'v'), ('lblue', 'n')]","['asos', 'design', 'regular', 'jean', 'light', 'wash', 'lblue']",asos design regular jean light wash lblue
912,Columbia Hopedale long sleeve t-shirt in blue Exclusive at ASOS,Columbia,Blue,images.asos-media.com/products/columbia-hopedale-long-sleeve-t-shirt-in-blue-exclusive-at-asos/201625982-1-blue,columbia hopedale long sleeve tshirt in blue exclusive at asos,"['columbia', 'hopedale', 'long', 'sleeve', 'tshirt', 'in', 'blue', 'exclusive', 'at', 'asos']","['columbia', 'hopedale', 'long', 'sleeve', 'tshirt', 'blue', 'exclusive', 'asos']","[('columbia', 'n'), ('hopedale', 'n'), ('long', 'a'), ('sleeve', 'n'), ('tshirt', 'n'), ('blue', 'a'), ('exclusive', 'a'), ('asos', 'n')]","['columbia', 'hopedale', 'long', 'sleeve', 'tshirt', 'blue', 'exclusive', 'asos']",columbia hopedale long sleeve tshirt blue exclusive asos
913,ASOS DESIGN skinny tuxedo in black suit trousers,ASOS DESIGN,Black,images.asos-media.com/products/asos-design-skinny-tuxedo-in-black-suit-trousers/23616101-1-black,asos design skinny tuxedo in black suit trousers,"['asos', 'design', 'skinny', 'tuxedo', 'in', 'black', 'suit', 'trousers']","['asos', 'design', 'skinny', 'tuxedo', 'black', 'suit', 'trousers']","[('asos', 'n'), ('design', 'n'), ('skinny', 'n'), ('tuxedo', 'n'), ('black', 'a'), ('suit', 'n'), ('trousers', 'n')]","['asos', 'design', 'skinny', 'tuxedo', 'black', 'suit', 'trouser']",asos design skinny tuxedo black suit trouser
914,adidas Running Fast split shorts in royal blue,adidas performance,MID BLUE,images.asos-media.com/products/adidas-running-fast-split-shorts-in-royal-blue/202145448-1-midblue,adidas running fast split shorts in royal blue,"['adidas', 'running', 'fast', 'split', 'shorts', 'in', 'royal', 'blue']","['adidas', 'running', 'fast', 'split', 'shorts', 'royal', 'blue']","[('adidas', 'n'), ('running', 'v'), ('fast', 'r'), ('split', 'v'), ('shorts', 'n'), ('royal', 'a'), ('blue', 'a')]","['adidas', 'run', 'fast', 'split', 'short', 'royal', 'blue']",adidas run fast split short royal blue
915,New Look chicago t-shirt in grey,New Look,Grey NIU,images.asos-media.com/products/new-look-chicago-t-shirt-in-grey/203378759-1-greyniu,new look chicago tshirt in grey,"['new', 'look', 'chicago', 'tshirt', 'in', 'grey']","['new', 'look', 'chicago', 'tshirt', 'grey']","[('new', 'a'), ('look', 'n'), ('chicago', 'n'), ('tshirt', 'n'), ('grey', 'n')]","['new', 'look', 'chicago', 'tshirt', 'grey']",new look chicago tshirt grey
916,Topman oversized t-shirt with placement text embroidery in stone,Topman,NEUTRAL,images.asos-media.com/products/topman-oversized-t-shirt-with-placement-text-embroidery-in-stone/203136504-1-neutral,topman oversized tshirt with placement text embroidery in stone,"['topman', 'oversized', 'tshirt', 'with', 'placement', 'text', 'embroidery', 'in', 'stone']","['topman', 'oversized', 'tshirt', 'placement', 'text', 'embroidery', 'stone']","[('topman', 'n'), ('oversized', 'n'), ('tshirt', 'n'), ('placement', 'n'), ('text', 'n'), ('embroidery', 'n'), ('stone', 'n')]","['topman', 'oversized', 'tshirt', 'placement', 'text', 'embroidery', 'stone']",topman oversized tshirt placement text embroidery stone
917,adidas Golf Ottoman stripe polo shirt in navy,adidas Golf,NAVY,images.asos-media.com/products/adidas-golf-ottoman-stripe-polo-shirt-in-navy/202833020-1-navy,adidas golf ottoman stripe polo shirt in navy,"['adidas', 'golf', 'ottoman', 'stripe', 'polo', 'shirt', 'in', 'navy']","['adidas', 'golf', 'ottoman', 'stripe', 'polo', 'shirt', 'navy']","[('adidas', 'n'), ('golf', 'n'), ('ottoman', 'n'), ('stripe', 'n'), ('polo', 'n'), ('shirt', 'n'), ('navy', 'n')]","['adidas', 'golf', 'ottoman', 'stripe', 'polo', 'shirt', 'navy']",adidas golf ottoman stripe polo shirt navy
918,ASOS DESIGN swim thong in animal print,ASOS DESIGN,Multi,images.asos-media.com/products/asos-design-swim-thong-in-animal-print/202697818-1-multi,asos design swim thong in animal print,"['asos', 'design', 'swim', 'thong', 'in', 'animal', 'print']","['asos', 'design', 'swim', 'thong', 'animal', 'print']","[('asos', 'n'), ('design', 'n'), ('swim', 'n'), ('thong', 'n'), ('animal', 'n'), ('print', 'n')]","['asos', 'design', 'swim', 'thong', 'animal', 'print']",asos design swim thong animal print
919,Topman relaxed co-ord  cut and sew cargo trousers with elasticated waist  in khaki,Topman,Khaki,images.asos-media.com/products/topman-relaxed-co-ord-cut-and-sew-cargo-trousers-with-elasticated-waist-in-khaki/202236866-1-khaki,topman relaxed coord  cut and sew cargo trousers with elasticated waist  in khaki,"['topman', 'relaxed', 'coord', 'cut', 'and', 'sew', 'cargo', 'trousers', 'with', 'elasticated', 'waist', 'in', 'khaki']","['topman', 'relaxed', 'coord', 'cut', 'sew', 'cargo', 'trousers', 'elasticated', 'waist', 'khaki']","[('topman', 'n'), ('relaxed', 'n'), ('coord', 'n'), ('cut', 'v'), ('sew', 'n'), ('cargo', 'n'), ('trousers', 'n'), ('elasticated', 'n'), ('waist', 'n'), ('khaki', 'n')]","['topman', 'relaxed', 'coord', 'cut', 'sew', 'cargo', 'trouser', 'elasticated', 'waist', 'khaki']",topman relaxed coord cut sew cargo trouser elasticated waist khaki
920,Under Armour Legacy windbreaker jacket in black,Under Armour,BLACK,images.asos-media.com/products/under-armour-legacy-windbreaker-jacket-in-black/203966028-1-black,under armour legacy windbreaker jacket in black,"['under', 'armour', 'legacy', 'windbreaker', 'jacket', 'in', 'black']","['armour', 'legacy', 'windbreaker', 'jacket', 'black']","[('armour', 'n'), ('legacy', 'n'), ('windbreaker', 'n'), ('jacket', 'n'), ('black', 'a')]","['armour', 'legacy', 'windbreaker', 'jacket', 'black']",armour legacy windbreaker jacket black
